,datetime,post
145,2021-10-01 17:31:09,Wall Street in Fives - Must Read Lists at Midday $GOOG $DIS $COIN $MRK $FIVN $ZM $GM $EA $GH $NEO $GOOGL $TWTR $IBM… https://t.co/BVZ926CU4x
146,2021-10-01 17:30:17,$roku $tsla $aapl $msft $nnox $bynd $aal $dal $nkla $uber $amd $kodk $kndi $fb $amzn $zm $t $twtr $snap $nflx $baba… https://t.co/KTXElmPrkq
147,2021-10-01 17:27:59,Disappointed as I was interested to see where this could go for $GOOG. Article notes that Citi was adding ~10k cust… https://t.co/q0nJli6Ovb
148,2021-10-01 17:27:15,"$AAPL it's like free money here💸
https://t.co/OLJN0FPwMB

$HOOD $AMD $AMC $BTC $DOGE $TSLA $NIO $SPY $QQQ $AAL… https://t.co/drEUNr2qYL"
149,2021-10-01 17:25:06,"RT @JunkoSu22993224: Chainlink Refused to Sell Itself to Google.
Google approached #Chainlink to buy it for undisclosed amount. Rumors is $…"
150,2021-10-01 17:24:59,"RT @DeItaone: Google Abandons Plans to Offer Bank Accounts, Sources Say
$GOOG"
151,2021-10-01 17:24:25,"$AAPL u guys must not like money missing this dip.
https://t.co/OLJN0FPwMB

$spy $siml $amzn $goog $laho $tsla $qqq… https://t.co/PsyM3jKZLU"
152,2021-10-01 17:24:18,$VERB 8-10% of float is short here... 6 days til verbLIT and atm closing can be announced anytime... wouldn't feel… https://t.co/uBQ7OfHT6Y
153,2021-10-01 17:21:47,Google is scrapping its plan to offer Plex bank accounts to users in partnership with Citigroup and other banks… https://t.co/2t1uAqNUet
154,2021-10-01 17:18:49,RT @slowdown_money: If you're new to Money Twitter and you know you want to start investing in the stock market but are not sure where to s…
155,2021-10-01 17:18:27,Paring back: $GOOG https://t.co/nI6D8J7blA
156,2021-10-01 17:15:26,"Wall Street in Fives - Must Read Lists at Midday
$MRK $FIVN $ZM $GM $EA $GH $NEO $GOOGL $GOOG $DIS $COIN $TWTR $IBM… https://t.co/wgjYHtEdkr"
157,2021-10-01 17:15:15,"RT @Albert_trades: Significant names with bearish engulfing candles on this months close:

$AAPL, $MSFT, $GOOG, $FB"
158,2021-10-01 17:13:22,"RT @pennycheck: $IONQ
$GOOG and $AMZN are officially competitors of $IONQ in the quantum race so why are they investors and partners with @…"
159,2021-10-01 17:05:59,"$AAPL did u give away your shares at BOTTOM?
https://t.co/OLJN0FPwMB

$ACB $NVAX $MRNA $CGC $DKNG $AAL $SAVE $UAL… https://t.co/4pGD3R4GRq"
